Category,German,English,Hindi
🏃 Verbs,vegan,vegan,शुद्ध शाकाहारी
🏃 Verbs,vegetarisch,vegetarian,शाकाहारी
📱 Communication,verabreden (sich),to arrange to meet,मुलाकात तय करना
🍎 Food,verabredet sein,to have a date,मुलाकात तय होना
👤 Pronouns,verbieten /,to forbid,मना करना
🍎 Food,verboten sein,to be forbidden,मना होना
🍎 Food,vereinbaren,to agree,तय करना
🍎 Food,vergessen,to forget,भूलना
👤 Pronouns,vergisst,forgets,भूल जाता है
🍎 Food,vergleichen,to compare,तुलना करना
🍎 Food,vergleicht,compares,तुलना करता है
👤 Pronouns,verlaufen (sich),to get lost,रास्ता भूल जाना
👤 Pronouns,verletzen (sich),to injure,चोट लगना
👤 Pronouns,verletzt,injured,चोट लगी
🏥 Health & Feelings,verlieben (sich),to fall in love,प्यार में पड़ना
🍎 Food,verliebt sein,to be in love,प्यार में होना
👤 Pronouns,verliert,loses,खो देता है
👤 Pronouns,verlobt,engaged,सगाई किया हुआ
🏠 House & Furniture,vermieten,to rent out,किराये पर देना
🎒 Personal Items,verpassen,to miss,चूकना
🍎 Food,verreisen,to travel,यात्रा पर जाना
🍎 Food,verreist,travelling,यात्रा पर
👤 Pronouns,verschieben,to postpone,टालना
👤 Pronouns,verschieden,different,अलग
⏰ Time,verspätet,late/delayed,देर से
👤 Pronouns,versteht,understands,समझता है
👤 Pronouns,versucht,tries,कोशिश करता है
🍎 Food,verzweifelt,desperate,निराश
✨ Adjectives,viel,much,बहुत
🍎 Food,vielleicht,perhaps,शायद
👤 Pronouns,Viertel nach,quarter past,सवा
👤 Pronouns,Viertel vor,quarter to,पौने
🍎 Food,vorbei,past,पिछला
🍎 Food,vorbereiten,to prepare,तैयार करना
👤 Pronouns,vorher,before,पहले
🔗 Adverbs & Connectors,vorn(e),at the front,आगे
🏃 Verbs,vorschlagen,to suggest,सुझाव देना
👤 Pronouns,vorsichtig,careful,सावधान
💼 Work & Job,vorstellen (sich),to introduce oneself,परिचय देना
🏙️ Places & City,Vorwort,foreword,प्रस्तावना
🏃 Verbs,vorwärts,forward,आगे
🏃 Verbs,wach,awake,जागा हुआ
🏃 Verbs,wahr,true,सच
👤 Pronouns,wandern,to hike,हाइकिंग करना
🍎 Food,war dabei,was there,वहाँ था
🏃 Verbs,war fit,was fit,फिट था
🏃 Verbs,wartet,waits,इंतज़ार करता है
❓ Question Words,waschen (sich),to wash,धोना
🍎 Food,weg sein,to be gone,गायब होना
✨ Adjectives,wenigstens,at least,कम से कम
❓ Question Words,wer (wen,who (whom,कौन (किसे
🏃 Verbs,willkommen,welcome,स्वागत
🏃 Verbs,witzig,funny,मजेदार
❓ Question Words,wolkig,cloudy,बादल वाला
🏙️ Places & City,Wortgruppen,word groups,शब्द समूह
🏥 Health & Feelings,wunderbar,wonderful,शानदार
🏃 Verbs,wählen,to vote,वोट देना
🍎 Food,würdigkeit,worthiness,योग्यता
🏃 Verbs,würzig,spicy,मसालेदार
🍎 Food,zeichnen,to draw,ड्रॉ करना
🍎 Food,zeigen,to show,दिखाना
🏃 Verbs,zieht (an/aus),puts on/takes off,पहनता/उतारता है
🍎 Food,zieht ein,moves in,रहने आता है
🍎 Food,zu sein,to be,होना
🏃 Verbs,zuhören,to listen,सुनना
🍎 Food,zum Beispiel,for example,उदाहरण के लिए
🏃 Verbs,zumachen,to close,बंद करना
🏃 Verbs,zunehmen,to gain weight,वज़न बढ़ना
🍎 Food,zur Arbeit gehen,to go to work,काम पर जाना
🍎 Food,zurzeit,currently,वर्तमान में
🏃 Verbs,zurück,back,वापस
🏃 Verbs,zurück-,back (prefix),वापस
🏃 Verbs,zusammen,together,साथ
🏃 Verbs,zustimmen,to agree,सहमत होना
👤 Pronouns,ändern,to change,बदलना
👤 Pronouns,ärgern (sich),to get angry,गुस्सा होना
👤 Pronouns,ärgert,annoys,परेशान करता है
⏰ Time,übernachten,to stay overnight,रात रुकना
👤 Pronouns,übersetzen,to translate,अनुवाद करना
🍎 Food,überweisen,to transfer,ट्रांसफर करना
🍎 Food,überweist,transfers,ट्रांसफर करता है
