German,English,Hindi
hat geheißen,To be translated,अनुवाद किया जाना है
hat geholfen,To be translated,अनुवाद किया जाना है
hat geholt,To be translated,अनुवाद किया जाना है
hat gehört,To be translated,अनुवाद किया जाना है
hat gekannt,To be translated,अनुवाद किया जाना है
hat gekauft,To be translated,अनुवाद किया जाना है
hat geklappt,To be translated,अनुवाद किया जाना है
hat gekostet,To be translated,अनुवाद किया जाना है
hat gekündigt,To be translated,अनुवाद किया जाना है
hat gelassen,To be translated,अनुवाद किया जाना है
hat gelebt,To be translated,अनुवाद किया जाना है
hat gelegt,To be translated,अनुवाद किया जाना है
hat geliehen,To be translated,अनुवाद किया जाना है
hat gelogen,To be translated,अनुवाद किया जाना है
hat gemacht,To be translated,अनुवाद किया जाना है
hat gemalt,To be translated,अनुवाद किया जाना है
hat gemeint,To be translated,अनुवाद किया जाना है
hat gemerkt,To be translated,अनुवाद किया जाना है
hat gemocht,To be translated,अनुवाद किया जाना है
hat genannt,To be translated,अनुवाद किया जाना है
hat genommen,To be translated,अनुवाद किया जाना है
hat geparkt,To be translated,अनुवाद किया जाना है
hat gepasst,To be translated,अनुवाद किया जाना है
hat geplant,To be translated,अनुवाद किया जाना है
hat geraten,To be translated,अनुवाद किया जाना है
hat geraucht,To be translated,अनुवाद किया जाना है
hat gerechnet,To be translated,अनुवाद किया जाना है
hat geredet,To be translated,अनुवाद किया जाना है
hat gerochen,To be translated,अनुवाद किया जाना है
hat gerufen,To be translated,अनुवाद किया जाना है
hat gesagt,To be translated,अनुवाद किया जाना है
hat geschafft,To be translated,अनुवाद किया जाना है
hat geschenkt,To be translated,अनुवाद किया जाना है
hat geschickt,To be translated,अनुवाद किया जाना है
hat geschienen,To be translated,अनुवाद किया जाना है
hat geschimpft,To be translated,अनुवाद किया जाना है
hat geschlafen,To be translated,अनुवाद किया जाना है
hat geschlossen,To be translated,अनुवाद किया जाना है
hat geschmeckt,To be translated,अनुवाद किया जाना है
hat geschnitten,To be translated,अनुवाद किया जाना है
hat geschrieben,To be translated,अनुवाद किया जाना है
hat gesehen,To be translated,अनुवाद किया जाना है
hat gespart,To be translated,अनुवाद किया जाना है
hat gespeichert,To be translated,अनुवाद किया जाना है
hat gespielt,To be translated,अनुवाद किया जाना है
hat gestellt,To be translated,अनुवाद किया जाना है
hat gestritten,To be translated,अनुवाद किया जाना है
hat gestört,To be translated,अनुवाद किया जाना है
hat gesucht,To be translated,अनुवाद किया जाना है
hat gesungen,To be translated,अनुवाद किया जाना है
hat getan,To be translated,अनुवाद किया जाना है
hat geteilt,To be translated,अनुवाद किया जाना है
hat getragen,To be translated,अनुवाद किया जाना है
hat getrunken,To be translated,अनुवाद किया जाना है
hat gewartet,To be translated,अनुवाद किया जाना है
hat geweckt,To be translated,अनुवाद किया जाना है
hat geweint,To be translated,अनुवाद किया जाना है
hat gewusst,To be translated,अनुवाद किया जाना है
hat gewählt,To be translated,अनुवाद किया जाना है
hat gezahlt,To be translated,अनुवाद किया जाना है
hat gezeichnet,To be translated,अनुवाद किया जाना है
hat gezeigt,To be translated,अनुवाद किया जाना है
hat geändert,To be translated,अनुवाद किया जाना है
hat geöffnet,To be translated,अनुवाद किया जाना है
hat geübt,To be translated,अनुवाद किया जाना है
hat hergestellt,To be translated,अनुवाद किया जाना है
hat interessiert,To be translated,अनुवाद किया जाना है
hat kontrolliert,To be translated,अनुवाद किया जाना है
hat leidgetan,To be translated,अनुवाद किया जाना है
hat probiert,To be translated,अनुवाद किया जाना है
hat recht gehabt,To be translated,अनुवाद किया जाना है
hat renoviert,To be translated,अनुवाद किया जाना है
hat stattgefunden,To be translated,अनुवाद किया जाना है
hat unterhalten,To be translated,अनुवाद किया जाना है
hat untersucht,To be translated,अनुवाद किया जाना है
hat verdient,To be translated,अनुवाद किया जाना है
hat vereinbart,To be translated,अनुवाद किया जाना है
hat vergessen,To be translated,अनुवाद किया जाना है
hat verglichen,To be translated,अनुवाद किया जाना है
hat verkauft,To be translated,अनुवाद किया जाना है
hat verletzt,To be translated,अनुवाद किया जाना है
hat verliebt,To be translated,अनुवाद किया जाना है
hat verloren,To be translated,अनुवाद किया जाना है
hat verpasst,To be translated,अनुवाद किया जाना है
hat verschoben,To be translated,अनुवाद किया जाना है
hat verstanden,To be translated,अनुवाद किया जाना है
hat versucht,To be translated,अनुवाद किया जाना है
hat vorbereitet,To be translated,अनुवाद किया जाना है
hat vorgestellt,To be translated,अनुवाद किया जाना है
hat zugehört,To be translated,अनुवाद किया जाना है
hat übernachtet,To be translated,अनुवाद किया जाना है
hat/ist,To be translated,अनुवाद किया जाना है
hat/ist gelegen,To be translated,अनुवाद किया जाना है
hat/ist gesessen,To be translated,अनुवाद किया जाना है
hat/ist gestanden,To be translated,अनुवाद किया जाना है
hat/ist gesurft,To be translated,अनुवाद किया जाना है
hatte,To be translated,अनुवाद किया जाना है
Hausmann,To be translated,अनुवाद किया जाना है
heiraten,To be translated,अनुवाद किया जाना है
heiß,hot,गर्म
heißen,To be translated,अनुवाद किया जाना है
helfen,to help 🤝,मदद करना
hell,light (color),हल्का
hellblau,light blue,हल्का नीला
hellbraun,light brown / tan,हल्का भूरा
hellgrau,light gray,हल्का धूसर
hellgrün,light green,हल्का हरा
hellrot,light red,हल्का लाल
her/her-/-her,To be translated,अनुवाद किया जाना है
heraus/raus,To be translated,अनुवाद किया जाना है
herberge,To be translated,अनुवाद किया जाना है
herein/rein,To be translated,अनुवाद किया जाना है
herstellen,To be translated,अनुवाद किया जाना है
herunterladen,to download ⬇️,डाउनलोड करना
herzlich,To be translated,अनुवाद किया जाना है
Herzlich willkommen,Welcome,स्वागत है
heute,today,आज
heute Abend,tonight,आज रात
Heute ist der 20.2.2012,To be translated,अनुवाद किया जाना है
hier,here,यहाँ
Hilfe!,Help!,मदद!
hin/hin-/-hin,To be translated,अनुवाद किया जाना है
hinten,behind / back,पीछे
hinter,behind,के पीछे
hoch,high / tall,ऊँचा
hochladen,to upload ⬆️,अपलोड करना
hoffen,to hope,उम्मीद करना
hoffentlich,To be translated,अनुवाद किया जाना है
holen,to fetch / get,ले आना
hungrig,hungry 🍽️,भूखा
hängen,To be translated,अनुवाद किया जाना है
hässlich,ugly,बदसूरत
hören,to hear 👂,सुनना
hört auf,To be translated,अनुवाद किया जाना है
ich,I 👤,मैं
Ich auch,Me too,मैं भी
Ich bin satt,I am full,मेरा पेट भर गया
Ich lerne Deutsch,I'm learning German,मैं जर्मन सीख रहा/रही हूँ
Ich verstehe (nicht),I (don't) understand,मैं समझ (नहीं) रहा/रही हूँ
Ich verstehe nicht,I don't understand,मुझे समझ नहीं आया
Ich weiß nicht,I don't know,मुझे नहीं पता
ihm,to him (dative),उसे (पुरुष)
ihn,him (accusative),उसे (पुरुष)
ihnen,to them (dative),उन्हें
ihr,you (plural informal),तुम लोग
Im ersten Stock,On the first floor,पहली मंज़िल पर
immer,To be translated,अनुवाद किया जाना है
in,in 📍,में
in der Nähe,nearby,पास में
informieren,To be translated,अनुवाद किया जाना है
informiert,To be translated,अनुवाद किया जाना है
ins Bett gehen,to go to bed,सोने जाना
intelligent,To be translated,अनुवाद किया जाना है
interessant,interesting,दिलचस्प
interessiert,To be translated,अनुवाद किया जाना है
international,To be translated,अनुवाद किया जाना है
ist (ab)gefahren,To be translated,अनुवाद किया जाना है
ist (ab)geflogen,To be translated,अनुवाद किया जाना है
ist dabei,To be translated,अनुवाद किया जाना है
ist eingezogen,To be translated,अनुवाद किया जाना है
ist einverstanden,To be translated,अनुवाद किया जाना है
ist erkältet,To be translated,अनुवाद किया जाना है
ist fertig,To be translated,अनुवाद किया जाना है
ist fit gewesen,To be translated,अनुवाद किया जाना है
ist geblieben,To be translated,अनुवाद किया जाना है
ist gegangen,To be translated,अनुवाद किया जाना है
ist gekommen,To be translated,अनुवाद किया जाना है
ist gelaufen,To be translated,अनुवाद किया जाना है
ist geschwommen,To be translated,अनुवाद किया जाना है
ist gestorben,To be translated,अनुवाद किया जाना है
ist gewandert,To be translated,अनुवाद किया जाना है
ist gewesen,To be translated,अनुवाद किया जाना है
ist geworden,To be translated,अनुवाद किया जाना है
ist gültig gewesen,To be translated,अनुवाद किया जाना है
ist passiert,To be translated,अनुवाद किया जाना है
ist umgestiegen,To be translated,अनुवाद किया जाना है
ist unterwegs,To be translated,अनुवाद किया जाना है
ist verreist,To be translated,अनुवाद किया जाना है
ist/hat gejoggt,To be translated,अनुवाद किया जाना है
Ja,Yes,हाँ
Januar,January,जनवरी
jede,every / each (f),हर
jeder,everyone / each (m),हर कोई
jedes,every / each (n),हर
jemand,someone,कोई
jetzt,now,अभी
joggen,to jog,जॉगिंग करना
Juli,July,जुलाई
jung,young,जवान
Juni,June,जून
kalt,cold,ठंडा
kaputt,broken 💔,टूटा हुआ
kaufen,to buy,खरीदना
kein,no / not any,कोई नहीं
Kein Problem,No problem,कोई बात नहीं
Keine Ahnung,No idea,पता नहीं
keinen Fall,To be translated,अनुवाद किया जाना है
kennen,to know (person/place),जानना (व्यक्ति)
kennenlernen,To be translated,अनुवाद किया जाना है
khaki,khaki,खाकी
klappen,To be translated,अनुवाद किया जाना है
klettern,to climb,चढ़ना
klicken,to click,क्लिक करना
klingeln,to ring,बजना
Klub,To be translated,अनुवाद किया जाना है
kochen,to cook 👨‍🍳,पकाना
kommen,to come,आना
kommt an,To be translated,अनुवाद किया जाना है
kontaktlos bezahlen,contactless payment,कॉन्टैक्टलेस पेमेंट
kontrollieren,To be translated,अनुवाद किया जाना है
kontrolliert,To be translated,अनुवाद किया जाना है
Kopfschmerzen,headache 🤕,सिरदर्द
kopieren,to copy,कॉपी करना
koralle,coral,मूंगा रंग
korrigieren,to correct,सुधारना
kosten,to cost,कीमत होना
krank,sick / ill 🤒,बीमार
kurz,short,छोटा
können,can / to be able to,सकना
kühl,cool,ठंडा (हल्का)
kündigen,to quit / resign,इस्तीफा देना
lachen,to laugh 😂,हँसना
lachsfarben,salmon,सैल्मन रंग
lang,long,लंबा
lange,To be translated,अनुवाद किया जाना है
langsam,slow 🐢,धीमा
"Langsam, bitte","Slowly, please",धीरे बोलिए
langweilig,boring / bored 😑,उबाऊ / बोर
lassen,To be translated,अनुवाद किया जाना है
laufen,to walk / run,चलना / दौड़ना
laufen),To be translated,अनुवाद किया जाना है
laut,loud 🔊,तेज़ (आवाज़)
lecker,delicious 😋,स्वादिष्ट
ledig,single (unmarried),अविवाहित
leer,empty,खाली
legen,to lay / put,रखना
leicht,To be translated,अनुवाद किया जाना है
leider,To be translated,अनुवाद किया जाना है
leidtun/leid tun,To be translated,अनुवाद किया जाना है
leihen,To be translated,अनुवाद किया जाना है
leise,To be translated,अनुवाद किया जाना है
lernen,to learn 📖,सीखना
lernt kennen,To be translated,अनुवाद किया जाना है
lesen,to read,पढ़ना
letzt-,To be translated,अनुवाद किया जाना है
lieb,dear / sweet 💕,प्यारा
lieb-,To be translated,अनुवाद किया जाना है
lieben,to love ❤️,प्यार करना
Lieblings-,To be translated,अनुवाद किया जाना है
liefern,To be translated,अनुवाद किया जाना है
liegen,to lie (down),लेटना
links,left ⬅️,बाएँ
live,live,लाइव
lustig,funny 😄,मज़ेदार
lächeln,to smile 😊,मुस्कुराना
Länder und Nationalitäten,To be translated,अनुवाद किया जाना है
löschen,to delete,डिलीट करना
lügen,To be translated,अनुवाद किया जाना है
machen,to do / make,करना / बनाना
machen/-helfen),To be translated,अनुवाद किया जाना है
Macht nichts,No matter,कोई बात नहीं
Mai,May,मई
mal / das Mal,To be translated,अनुवाद किया जाना है
malen,to paint,पेंट करना
man,one / people (general),लोग / कोई
manch-,To be translated,अनुवाद किया जाना है
manchmal,To be translated,अनुवाद किया जाना है
marineblau,navy blue,नेवी नीला
mehr,To be translated,अनुवाद किया जाना है
meinen,To be translated,अनुवाद किया जाना है
meiner Meinung nach,in my opinion,मेरी राय में
meist-,To be translated,अनुवाद किया जाना है
meistens,mostly / usually,ज्यादातर
meldet an,To be translated,अनुवाद किया जाना है
merken,To be translated,अनुवाद किया जाना है
miauen,to meow,म्याऊं करना
mich,me (accusative),मुझे
mieten,to rent,किराए पर लेना
mindestens,To be translated,अनुवाद किया जाना है
mintgrün,mint green,पुदीना हरा
mir,to me (dative),मुझे
Mir geht es gut,I'm fine,मैं ठीक हूँ
mischen,to mix,मिलाना
mit,with,के साथ
mit Eis,with ice 🧊,बर्फ़ के साथ
mit Frühstück,with breakfast,नाश्ते सहित
mit Milch,with milk,दूध के साथ
mit Zucker,with sugar,चीनी के साथ
mitnehmen,to take along,साथ ले जाना
Mittwoch,Wednesday,बुधवार
mochte,To be translated,अनुवाद किया जाना है
modern,To be translated,अनुवाद किया जाना है
Moment mal,Wait a moment,एक मिनट
monatlich,monthly,मासिक
Montag,Monday,सोमवार
morgen früh,tomorrow morning,कल सुबह
männlich,To be translated,अनुवाद किया जाना है
März,March,मार्च
möchten,would like,चाहूँगा/चाहूँगी
mögen,to like,पसंद करना
möglich,possible,संभव
müde,tired 😴,थका हुआ
müssen,must / have to,करना पड़ना
nach,after / past,बाद
nach Hause,to home (going),घर की ओर
nach Hause kommen,to come home,घर आना
nass,wet,गीला
natürlich,of course / naturally,बेशक
Natürlich!,Of course!,बिल्कुल!
neben,next to / beside,के बगल में
nebenan,To be translated,अनुवाद किया जाना है
neblig,foggy,धुंधला
nehmen,to take,लेना
Nein,No,नहीं
nennen,To be translated,अनुवाद किया जाना है
nervös,nervous 😬,घबराया हुआ
nett,nice / kind,अच्छा / दयालु
neu,new 🆕,नया
Neujahr,New Year 🎊,नया साल
nicht,not ❌,नहीं
Nicht so gut,Not so good,इतना अच्छा नहीं
nicht zustimmen,to disagree,असहमत होना
nichts,To be translated,अनुवाद किया जाना है
nie,To be translated,अनुवाद किया जाना है
niedrig,low,नीचा
niemand,no one,कोई नहीं
nirgends,To be translated,अनुवाद किया जाना है
nirgendwo,nowhere,कहीं नहीं
noch,still / yet,अभी भी
"Noch einmal, bitte","Once more, please",एक बार और
Noch etwas?,Anything else?,और कुछ?
normal,To be translated,अनुवाद किया जाना है
notieren,To be translated,अनुवाद किया जाना है
notwendig,To be translated,अनुवाद किया जाना है
November,November,नवंबर
nur,only,केवल
nächste,To be translated,अनुवाद किया जाना है
nähen,to sew,सिलाई
nützlich,To be translated,अनुवाद किया जाना है
ob,whether / if,क्या / अगर
oben,above / up ⬆️,ऊपर
oder,or,या
offen,open,खुला
oft,To be translated,अनुवाद किया जाना है
ohne,without,के बिना
ohne Milch,without milk,बिना दूध
ohne Zucker,without sugar,बिना चीनी
Oktober,October,अक्टूबर
olivgrün,olive green,जैतून हरा
online,To be translated,अनुवाद किया जाना है
organisieren,To be translated,अनुवाद किया जाना है
organisiert,To be translated,अनुवाद किया जाना है
Ostern,Easter 🐰,ईस्टर
packen,To be translated,अनुवाद किया जाना है
packt ein,To be translated,अनुवाद किया जाना है
parken,To be translated,अनुवाद किया जाना है
passen,to fit,फिट होना
passieren,To be translated,अनुवाद किया जाना है
passiert,To be translated,अनुवाद किया जाना है
passt auf,To be translated,अनुवाद किया जाना है
peinlich,embarrassing,शर्मनाक
planen,to plan,योजना बनाना
plötzlich,To be translated,अनुवाद किया जाना है
praktisch,To be translated,अनुवाद किया जाना है
preiswert,To be translated,अनुवाद किया जाना है
Prima!,Great!,उत्तम!
privat,To be translated,अनुवाद किया जाना है
pro,To be translated,अनुवाद किया जाना है
probieren,to try on,ट्राय करना
probiert,To be translated,अनुवाद किया जाना है
Prost!,Cheers!,चीयर्स!
protestieren,to protest,विरोध करना
prüfen,To be translated,अनुवाद किया जाना है
putzen,to clean,साफ करना
pünktlich,on time / punctual,समय पर
raten,To be translated,अनुवाद किया जाना है
rauchen,To be translated,अनुवाद किया जाना है
rechnen,To be translated,अनुवाद किया जाना है
recht haben,To be translated,अनुवाद किया जाना है
rechts,right ➡️,दाएँ
recyceln,to recycle,रीसाइकल करना
reden,To be translated,अनुवाद किया जाना है
reduziert,reduced / on sale,कम कीमत पर
regelmäßig,regularly,नियमित
regnen,to rain,बरसना
regnerisch,rainy,बारिश वाला
reich,To be translated,अनुवाद किया जाना है
reisen,To be translated,अनुवाद किया जाना है
reiten,To be translated,अनुवाद किया जाना है
renovieren,To be translated,अनुवाद किया जाना है
reparieren,To be translated,अनुवाद किया जाना है
reservieren,to reserve,आरक्षित करना
reserviert,To be translated,अनुवाद किया जाना है
reservierte,To be translated,अनुवाद किया जाना है
richtig,correct / right ✓,सही
Richtig!,Right!,सही!
riechen,to smell 👃,सूँघना
romantisch,To be translated,अनुवाद किया जाना है
rostbraun,rust brown,जंग रंग
rot,red 🔴,लाल
rufen,to call (out),पुकारना
ruhig,calm / quiet,शांत
ruht aus,To be translated,अनुवाद किया जाना है
rund,To be translated,अनुवाद किया जाना है
Rückenschmerzen,back pain,पीठ दर्द
rühren,to stir,हिलाना
sagen,to say,कहना
salzig,salty 🧂,नमकीन
sammeln,to collect,इकट्ठा करना
sammelt,To be translated,अनुवाद किया जाना है
Samstag,Saturday,शनिवार
satt,full (after eating),पेट भरा
sauber,clean ✨,साफ
sauer,sour 🍋,खट्टा
schade,To be translated,अनुवाद किया जाना है
Schade!,Too bad!,अफ़सोस!
schaffen,To be translated,अनुवाद किया जाना है
scharf,spicy / sharp 🌶️,तीखा
scheinen,To be translated,अनुवाद किया जाना है
schenken,to give (gift),उपहार देना
schicken,to send 📧,भेजना
schimpfen,To be translated,अनुवाद किया जाना है
schimpft,To be translated,अनुवाद किया जाना है
schlafen,to sleep 😴,सोना
schlafen gehen,to go to sleep,सोने जाना
schlecht,bad / unwell,बुरा / खराब
schlechte Laune,bad mood,खराब मूड
schließen,to close,बंद करना
schließt,To be translated,अनुवाद किया जाना है
schließt ab,To be translated,अनुवाद किया जाना है
schlimm,To be translated,अनुवाद किया जाना है
schmecken,to taste 👅,स्वाद लेना
schmeckt,To be translated,अनुवाद किया जाना है
schmutzig,dirty,गंदा
schneiden,to cut ✂️,काटना
schneiden (sich),To be translated,अनुवाद किया जाना है
schneidet,To be translated,अनुवाद किया जाना है
schneien,to snow,बर्फ गिरना
schnell,fast / quick ⚡,तेज़
schon,already,पहले से
schrecklich,terrible,भयानक
schreiben,To be translated,अनुवाद किया जाना है
schriftlich,To be translated,अनुवाद किया जाना है
schwach,To be translated,अनुवाद किया जाना है
schwanger,To be translated,अनुवाद किया जाना है
schwarz,black ⚫,काला
schwer,difficult / heavy,मुश्किल / भारी
schwierig,difficult,कठिन
schwimmen,to swim,तैरना
schwimmen gehen,to go swimming,तैराकी करने जाना
schädlich,To be translated,अनुवाद किया जाना है
schön,beautiful / nice ✨,सुंदर
Schönes Wochenende!,Have a nice weekend!,अच्छा वीकेंड!
schützen,to protect,संरक्षण करना
sehen,to see 👁️,देखना
sehr,very,बहुत
sein,To be translated,अनुवाद किया जाना है
seit,since / for (duration),से (समय से)
selbst,self / oneself,खुद / स्वयं
selten,rarely / seldom,कभी-कभार
September,September,सितंबर
setzen,to set / put (down),बिठाना
setzen (sich),To be translated,अनुवाद किया जाना है
setzt,To be translated,अनुवाद किया जाना है
setzung,To be translated,अनुवाद किया जाना है
sich,himself/herself/itself/themselves,खुद को / अपने आप
sich anmelden,to register,पंजीकरण करना
sich anziehen,to get dressed,कपड़े पहनना
sich ausruhen,to rest,आराम करना
sich ausziehen,to undress,कपड़े उतारना
sich beeilen,to hurry,जल्दी करना
sich bewerben,to apply (for job),आवेदन करना
sich rasieren,to shave,शेव करना
sich schminken,to put on makeup,मेकअप करना
sich streiten,to argue,झगड़ा करना
sich umziehen,to change clothes,कपड़े बदलना
sich versöhnen,to make up,सुलह करना
sicher,To be translated,अनुवाद किया जाना है
Sicher!,Sure!,ज़रूर!
sie,she 👩,वह (महिला)
sieht aus,To be translated,अनुवाद किया जाना है
Silvester,New Year's Eve 🎆,नए साल की पूर्व संध्या
singen,to sing 🎤,गाना
sitzen,to sit,बैठना
so,To be translated,अनुवाद किया जाना है
sofort,To be translated,अनुवाद किया जाना है
sogar,To be translated,अनुवाद किया जाना है
solche,such,ऐसा / ऐसी
sollen,should / ought to,चाहिए
sollte,To be translated,अनुवाद किया जाना है
sondern,but rather,बल्कि
sonnig,sunny,धूप वाला
Sonntag,Sunday,रविवार
sonst,To be translated,अनुवाद किया जाना है
spannend,exciting,रोमांचक
sparen,to save (money),बचाना
spazieren gehen,To be translated,अनुवाद किया जाना है
speichern,to save,सेव करना
spielen,to play 🎮,खेलना
spielen (Instrument),to play (instrument),बजाना
spielt,To be translated,अनुवाद किया जाना है
sportlich,To be translated,अनुवाद किया जाना है
sprechen,to speak,बोलना
Sprechen Sie Deutsch?,Do you speak German?,क्या आप जर्मन बोलते हैं?
spät,late,देर से
später,later,बाद में
stark,To be translated,अनुवाद किया जाना है
stattfinden,To be translated,अनुवाद किया जाना है
stehen,to stand,खड़ा होना
steigt aus,To be translated,अनुवाद किया जाना है
steigt ein,To be translated,अनुवाद किया जाना है
stellen,to put / place (standing),रखना (खड़ा)
stellt vor,To be translated,अनुवाद किया जाना है
sterben,To be translated,अनुवाद किया जाना है
stilles Wasser,still water (no gas),सादा पानी
Stimmt das?,Is that correct?,क्या यह सही है?
Stimmt!,That's right!,सही है!
stolz,proud,गर्वित
streamen,to stream,स्ट्रीम करना
streiten (sich),To be translated,अनुवाद किया जाना है
streng,To be translated,अनुवाद किया जाना है
stressig,To be translated,अनुवाद किया जाना है
stricken,to knit,बुनाई
studieren,to study (uni),पढ़ाई करना
stören,To be translated,अनुवाद किया जाना है
stürmisch,stormy,तूफानी
suchen,to look for / search,ढूँढना
super,super / great,सुपर
Super!,Super!,बढ़िया!
surfen,To be translated,अनुवाद किया जाना है
surfen im Internet,to surf the internet,इंटरनेट सर्फ करना
sympathisch,To be translated,अनुवाद किया जाना है
süß,sweet,मीठा
tanken,to refuel,पेट्रोल भरवाना
tanzen,to dance 💃,नाचना
tauscht (aus),To be translated,अनुवाद किया जाना है
teilen,To be translated,अनुवाद किया जाना है
teilnehmen,To be translated,अनुवाद किया जाना है
Teilzeit,part-time,अंशकालिक
telefonieren,to phone,फोन पर बात करना
teuer,To be translated,अनुवाद किया जाना है
tief,To be translated,अनुवाद किया जाना है
toll,great / awesome 🎉,शानदार
Toll!,Great!,बहुत अच्छा!
tot,dead,मृत
total,To be translated,अनुवाद किया जाना है
tragen,to wear,पहनना
trainieren,to train,प्रशिक्षण लेना
traurig,sad 😢,उदास
treffen,to meet,मिलना
treffen (sich),To be translated,अनुवाद किया जाना है
trifft,To be translated,अनुवाद किया जाना है
trinken,to drink,पीना
trocken,dry,सूखा
trägt ein,To be translated,अनुवाद किया जाना है
träumen,to dream,सपना देखना
träumt,To be translated,अनुवाद किया जाना है
tschüs,To be translated,अनुवाद किया जाना है
Tschüss,Bye,बाय
tun,To be translated,अनुवाद किया जाना है
tung,To be translated,अनुवाद किया जाना है
typisch,typical,आम / सामान्य
täglich,daily,रोज़ाना
türkis,turquoise,फ़िरोज़ी
um,at (time) / around,बजे / के आसपास
um ... Uhr,at ... o'clock,... बजे
um wie viel Uhr,at what time,कितने बजे
umsteigen,to change / transfer,बदलना (गाड़ी)
umtauschen,to exchange,बदलना / एक्सचेंज करना
umziehen,to move (house),घर बदलना
unbedingt,To be translated,अनुवाद किया जाना है
und,and 🔗,और
ungesund,unhealthy,अस्वस्थ
uns,us (accusative),हमें
unser,our,हमारा
unten,below / down ⬇️,नीचे
unter,under,के नीचे
unterhalten (sich),To be translated,अनुवाद किया जाना है
unterhält,To be translated,अनुवाद किया जाना है
unternehmen,To be translated,अनुवाद किया जाना है
unterschreiben,To be translated,अनुवाद किया जाना है
untersuchen,To be translated,अनुवाद किया जाना है
untersucht,To be translated,अनुवाद किया जाना है
unterwegs sein,To be translated,अनुवाद किया जाना है
vegan,vegan,शुद्ध शाकाहारी
vegetarisch,vegetarian,शाकाहारी
verabreden (sich),to arrange to meet,मुलाकात तय करना
verabredet sein,To be translated,अनुवाद किया जाना है
verbieten /,To be translated,अनुवाद किया जाना है
verboten sein,To be translated,अनुवाद किया जाना है
verdienen,to earn,कमाना
vereinbaren,To be translated,अनुवाद किया जाना है
vergessen,To be translated,अनुवाद किया जाना है
vergisst,To be translated,अनुवाद किया जाना है
vergleichen,To be translated,अनुवाद किया जाना है
vergleicht,To be translated,अनुवाद किया जाना है
verheiratet,married 💍,विवाहित
verkaufen,to sell,बेचना
verlaufen (sich),to get lost,रास्ता भूल जाना
verletzen (sich),To be translated,अनुवाद किया जाना है
verletzt,To be translated,अनुवाद किया जाना है
verlieben (sich),To be translated,अनुवाद किया जाना है
verliebt,in love 😍,प्यार में
verliebt sein,to be in love,प्यार में होना
verlieren,to lose,खोना
verliert,To be translated,अनुवाद किया जाना है
verlobt,engaged,सगाई किया हुआ
vermieten,To be translated,अनुवाद किया जाना है
verpassen,To be translated,अनुवाद किया जाना है
verreisen,To be translated,अनुवाद किया जाना है
verreist,To be translated,अनुवाद किया जाना है
verschieben,To be translated,अनुवाद किया जाना है
verschieden,To be translated,अनुवाद किया जाना है
verspätet,late/delayed,देर से
verstehen,to understand,समझना
Verstehen Sie?,Do you understand?,क्या आप समझे?
versteht,To be translated,अनुवाद किया जाना है
versuchen,to try,कोशिश करना
versucht,To be translated,अनुवाद किया जाना है
verwitwet,widowed,विधवा/विधुर
verzweifelt,desperate,निराश
viel,To be translated,अनुवाद किया जाना है
Viel Glück,Good luck,शुभकामनाएं
Viel Spaß,Have fun,मज़े करो
Vielen Dank,Many thanks,बहुत धन्यवाद
vielleicht,To be translated,अनुवाद किया जाना है
Viertel,quarter,पौने / सवा
Viertel nach,quarter past,सवा
Viertel vor,quarter to,पौने
voll,full,भरा हुआ
Vollzeit,full-time,पूर्णकालिक
von,from / of,से / का
vor,before / to,पहले
vorbei,To be translated,अनुवाद किया जाना है
vorbereiten,To be translated,अनुवाद किया जाना है
vorgestern,day before yesterday,परसों (बीता हुआ)
vorher,To be translated,अनुवाद किया जाना है
vorn(e),To be translated,अनुवाद किया जाना है
vorne,in front,आगे
vorschlagen,to suggest,सुझाव देना
Vorsicht!,Careful!,सावधान!
vorsichtig,To be translated,अनुवाद किया जाना है
vorstellen (sich),To be translated,अनुवाद किया जाना है
Vorwort,To be translated,अनुवाद किया जाना है
vorwärts,To be translated,अनुवाद किया जाना है
wach,To be translated,अनुवाद किया जाना है
wahr,To be translated,अनुवाद किया जाना है
wahrscheinlich,probably,संभवतः
wandern,to hike,हाइकिंग करना
wann,when,कब
war dabei,To be translated,अनुवाद किया जाना है
war fit,To be translated,अनुवाद किया जाना है
warm,warm,गर्म
warten,to wait,इंतज़ार करना
wartet,To be translated,अनुवाद किया जाना है
warum,why,क्यों
was,what,क्या
was für,what kind of,किस तरह का
Was ist los?,What's up?,क्या हुआ?
Was kochst du?,What are you cooking?,तुम क्या पका रहे हो?
Was machst du?,What do you do? / What are you doing?,तुम क्या करते हो?
waschen,to wash,धोना
waschen (sich),To be translated,अनुवाद किया जाना है
Wasser mit Kohlensäure,sparkling water,सोडा वाटर
wechseln,to change (money),बदलना
weg sein,To be translated,अनुवाद किया जाना है
wehtun,to hurt,दर्द होना
Weihnachten,Christmas 🎄,क्रिसमस
weil,because,क्योंकि
weinen,to cry 😭,रोना
weinrot,wine red / burgundy,बरगंडी / वाइन लाल
weit,loose / wide,ढीला
weiß,white ⚪,सफ़ेद
welche,which (f/pl),कौन सी
welcher,which (m),कौन सा
welches,which (n),कौन सा
wenigstens,at least,कम से कम
wenn,if / when,अगर / जब
wer,who ❓,कौन
wer (wen,To be translated,अनुवाद किया जाना है
werden,to become,बनना
wichtig,important ⭐,महत्वपूर्ण
wie,how,कैसे
wie alt,how old,कितने साल का
Wie bitte?,Pardon?,क्या कहा?
Wie geht's?,How are you?,कैसे हो?
